letter,weight,rel_weight,center,rel_center,horizontal moment,vertical moment,normalized horizontal moment,normalized vertical moment,i45 moment,normalized i45 moment,i135 moment,normalized i135 moment
ქ,102,0.2833333333333333,"(7, 16)","(0.5454545454545454, 0.5172413793103449)",7722,1739,7.396551724137931,1.6657088122605364,5933.5,5.6834291187739465,3527.5,3.378831417624521
წ,163,0.33958333333333335,"(7, 12)","(0.4, 0.3793103448275862)",11263,3085,9.743079584775087,2.6686851211072664,6936.0,6.0,7412.0,6.411764705882353
ე,91,0.3181818181818182,"(7, 11)","(0.5, 0.47619047619047616)",4278,1793,6.551301684532925,2.7457886676875956,3297.5,5.049770290964778,2773.5,4.247320061255743
რ,118,0.2681818181818182,"(9, 11)","(0.42105263157894735, 0.47619047619047616)",3278,4855,3.7081447963800906,5.492081447963801,4121.5,4.662330316742081,4011.5,4.53789592760181
ტ,158,0.265993265993266,"(11, 14)","(0.47619047619047616, 0.5)",8308,7270,6.849134377576258,5.993404781533388,8397.0,6.922506183017313,7181.0,5.920032976092333
ყ,114,0.3986013986013986,"(7, 10)","(0.5, 0.42857142857142855)",4535,2244,6.944869831546708,3.4364471669218988,3768.5,5.771056661562022,3010.5,4.610260336906585
უ,145,0.29958677685950413,"(12, 9)","(0.5238095238095238, 0.38095238095238093)",7092,7455,7.3264462809917354,7.7014462809917354,7103.5,7.338326446280992,7443.5,7.68956611570248
ი,76,0.3392857142857143,"(7, 6)","(0.4, 0.38461538461538464)",1149,2243,2.5420353982300883,4.962389380530974,1825.0,4.037610619469026,1567.0,3.4668141592920354
ო,102,0.3469387755102041,"(10, 6)","(0.45, 0.38461538461538464)",1582,4723,2.4835164835164836,7.414442700156986,2983.5,4.683673469387755,3321.5,5.214285714285714
პ,87,0.3041958041958042,"(7, 12)","(0.5, 0.5238095238095238)",3608,1273,5.525267993874426,1.9494640122511486,2678.5,4.101837672281777,2202.5,3.372894333843798
ა,53,0.2760416666666667,"(6, 9)","(0.45454545454545453, 0.5333333333333333)",1055,601,2.6375,1.5025,867.0,2.1675,789.0,1.9725
ს,88,0.25507246376811593,"(6, 13)","(0.35714285714285715, 0.5454545454545454)",3684,1787,4.885941644562334,2.370026525198939,1513.5,2.0072944297082227,3957.5,5.24867374005305
დ,172,0.2991304347826087,"(12, 9)","(0.4583333333333333, 0.36363636363636365)",6672,8979,5.781629116117851,7.780762564991335,7928.5,6.870450606585789,7722.5,6.691941074523397
ფ,145,0.32954545454545453,"(10, 9)","(0.47368421052631576, 0.38095238095238093)",6599,5523,7.464932126696833,6.247737556561086,5202.0,5.884615384615385,6920.0,7.828054298642534
გ,119,0.3606060606060606,"(7, 11)","(0.42857142857142855, 0.47619047619047616)",4780,2285,6.741889985895628,3.222849083215797,2744.5,3.870944992947814,4320.5,6.0937940761636105
ჰ,76,0.25418060200668896,"(8, 13)","(0.5833333333333334, 0.5454545454545454)",3792,836,5.432664756446991,1.1977077363896849,2367.0,3.391117478510029,2261.0,3.2392550143266474
ჯ,141,0.29132231404958675,"(10, 10)","(0.42857142857142855, 0.42857142857142855)",6927,4995,7.1559917355371905,5.160123966942149,4931.0,5.0940082644628095,6991.0,7.222107438016529
კ,86,0.2792207792207792,"(8, 12)","(0.5384615384615384, 0.5238095238095238)",3529,1460,5.189705882352941,2.1470588235294117,3410.5,5.015441176470588,1578.5,2.3213235294117647
ლ,175,0.2623688155922039,"(13, 9)","(0.42857142857142855, 0.36363636363636365)",7299,11671,5.327737226277372,8.51897810218978,10517.0,7.676642335766424,8453.0,6.17007299270073
ზ,143,0.2826086956521739,"(11, 10)","(0.45454545454545453, 0.42857142857142855)",4969,5407,4.905231984205331,5.33761105626851,2310.0,2.28035538005923,8066.0,7.96248766041461
ხ,109,0.3096590909090909,"(7, 11)","(0.4, 0.47619047619047616)",3734,2467,5.045945945945946,3.3337837837837836,1928.5,2.606081081081081,4272.5,5.773648648648648
ც,117,0.3277310924369748,"(8, 10)","(0.4375, 0.45)",4285,3502,5.86986301369863,4.7972602739726025,3826.5,5.241780821917808,3960.5,5.425342465753425
ვ,98,0.3181818181818182,"(7, 11)","(0.46153846153846156, 0.47619047619047616)",4571,1954,6.722058823529411,2.873529411764706,3291.5,4.840441176470589,3233.5,4.755147058823529
ბ,114,0.37012987012987014,"(6, 11)","(0.38461538461538464, 0.47619047619047616)",4600,2050,6.764705882352941,3.014705882352941,2785.0,4.095588235294118,3865.0,5.6838235294117645
ნ,114,0.37012987012987014,"(5, 11)","(0.3076923076923077, 0.47619047619047616)",4589,2359,6.748529411764705,3.4691176470588236,2964.0,4.358823529411764,3984.0,5.858823529411764
მ,106,0.3706293706293706,"(6, 11)","(0.4166666666666667, 0.47619047619047616)",4318,2071,6.612557427258806,3.1715160796324655,3492.5,5.348392036753445,2896.5,4.435681470137825
ჭ,157,0.32708333333333334,"(8, 15)","(0.4666666666666667, 0.4827586206896552)",11497,2192,9.945501730103807,1.8961937716262975,7676.5,6.640570934256055,6012.5,5.201124567474048
ღ,133,0.30227272727272725,"(9, 9)","(0.42105263157894735, 0.38095238095238093)",5149,4902,5.824660633484163,5.54524886877828,4848.5,5.48472850678733,5202.5,5.885180995475113
თ,122,0.3630952380952381,"(12, 6)","(0.4782608695652174, 0.38461538461538464)",1985,7166,2.571243523316062,9.282383419689118,4952.5,6.415155440414508,4198.5,5.438471502590674
შ,126,0.38181818181818183,"(8, 10)","(0.5, 0.42857142857142855)",5139,2790,7.248236953455571,3.9351198871650213,3859.5,5.443582510578279,4069.5,5.739774330042313
ჟ,112,0.3916083916083916,"(7, 11)","(0.5, 0.47619047619047616)",4286,2048,6.563552833078101,3.1362940275650844,3964.0,6.070444104134762,2370.0,3.629402756508423
ძ,92,0.32167832167832167,"(7, 12)","(0.5, 0.5238095238095238)",3345,1776,5.122511485451761,2.7197549770290963,3385.5,5.184532924961715,1735.5,2.6577335375191424
ჩ,122,0.42657342657342656,"(5, 10)","(0.3333333333333333, 0.42857142857142855)",4632,2117,7.093415007656968,3.2419601837672283,3389.5,5.190658499234303,3359.5,5.144716692189893
